segment name,category,comments
Crossix US > Healthcare > Prescription Type > High Cholesterol,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Type 1 Diabetes,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Type 2 Diabetes,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Hypertension,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Rheumatoid Arthritis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Multiple Sclerosis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Smoking Cessation,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Overactive Bladder,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Insomnia,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Depression,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Psoriasis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Acid Reflux,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Acne,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Allergy,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Anaphylaxis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Diabetes Test Strips,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Dry Eye,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Flu (Treatment),3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Flu (Vaccine),3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Migraines,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Osteoporosis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Obesity,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Osteoarthritis of the Knee,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Menopause,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Gout,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Prostate Cancer,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Constipation,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > DVT,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Lapsed Epipen User,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > IBS,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Artificial Tears,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Angina,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Celebrex,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Chantix,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Eliquis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Enbrel,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Lyrica (Diabetes),3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Lyrica (Fibromyalgia),3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Pristiq,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Xarelto,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Abilify,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Spiriva,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Tamiflu,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Hypothyroidism,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Invokana,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Skin Cancer,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Lunesta,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Myrbetriq,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Nexium Rx,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Pradaxa,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Ambien,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Belviq,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Breo Ellipta,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Crestor,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Farxiga,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Humira RA,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Jardiance,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Levemir FlexPen,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Levemir FlexTouch,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Multaq,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Restasis,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Symbicort,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Victoza,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Amitiza,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Brintellix,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Premarin,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Dulera,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Epipen,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Januvia,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Jublia,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Levemir,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > NuvaRing,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Pneumovax,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Prolia,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Glaucoma,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Zostavax,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Chronic Pain,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > DMARDs,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Metastatic Melanoma,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Belsomra,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Lung Cancer,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Flonase,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Ankylosing Spondylitis - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Celiac Disease - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Daliresp - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Heavy Prescription Filler - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Hidradenitis Suppurativa - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Psoriatic Arthritis - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Proair HFA - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Epiduo - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Brisdelle - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Auvi-Q - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Xeljanz - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Praluent - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Skyla - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Ulcerative Colitis - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Rosacea - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Kerydin - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Contact Lens User - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Creon - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Glucagon - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Humalog - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Trulicity - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Exocrine Pancreatic Insufficency - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Kidney Cancer - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Multiple Myeloma - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Get a Colonoscopy - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Breast Cancer - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Birth Control - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Brain Cancer - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Sinusitis - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Tubal Ligation - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Therapy > Mucinex - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Nasonex - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Movantik - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Urinary Tract Infection (UTI) - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Uloric - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Colcrys - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Narcolepsy - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Tinea - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Benign Prostatic Hyperplasia (BPH) - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Payer Type > Private Insurance - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Hepatic Enephalopathy - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Fibromyalgia - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Eczema - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Pregnant - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Diagnosis > Shingles - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Conversion > Brovana - Packaged,3,Use restrictions applied by acxiom - Legacy Data
V12 > CORE > Income Range > A-< $10K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > B-$10K-$19.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > C-$20K-$29.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > D-$30K-$39.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > E-$40K-$49.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > F-$50K-$59.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > G-$60K-$69.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > H-$70K-$79.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > I-$80K-$89.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > J-$90K-$99.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > K-$100K-$149.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > L-$150K - $174.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > M-$175K-$199.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > N-$200K-$249.9K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range > O-$250K+,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range <$30K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range $30K-$60K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range $61K-$100K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Income Range >$100K,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Investments/Retirement Plans,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 0- Lowest Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 1- 9Th Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 2- 8Th Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 3- 7Th Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 4- 6Th Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 5- 5Th Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 6- 4Th Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 7- 3Rd Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 8- 2Nd Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Wealth 9- Top Docile,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > CORE > Occupation - Health Services,3,Use restrictions applied by acxiom - Legacy Data
V12 > CORE > Medical Doctor / Physician,3,Use restrictions applied by acxiom - Legacy Data
V12 > CPG > Beers & Ales,3,Use restrictions applied by acxiom - Legacy Data
V12 > CPG > Liquor,3,Use restrictions applied by acxiom - Legacy Data
V12 > CPG > Well Liquor & Spirits,3,Use restrictions applied by acxiom - Legacy Data
V12 > CPG > Luxury Liquor & Spirits,3,Use restrictions applied by acxiom - Legacy Data
V12 > B2B SEGMENTS > Sic2 Industry = Tobacco Products,3,Use restrictions applied by acxiom - Legacy Data
V12 > B2B SEGMENTS > Sic4-industry = Liquor Stores,3,Use restrictions applied by acxiom - Legacy Data
V12 > B2B SEGMENTS > Sic4-industry = National Commercial Banks,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = State Commercial Banks,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Federal Savings Institutions,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = State Credit Unions,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Personal Credit Institutions,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Miscellaneous Business Credit,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Loan Brokers,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Title Insurance,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Title Abstract Offices,2,Use Restriction Applied by Acxiom - Financial or Political Data
"V12 > B2B SEGMENTS > Sic4-industry = Holding Companies, Nec",2,Use Restriction Applied by Acxiom - Financial or Political Data
"V12 > B2B SEGMENTS > Sic4-industry = Trusts, Nec",2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Real Estate Investment Trusts,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > B2B SEGMENTS > Sic4-industry = Tax Return Preparation Services,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > NEW VOTER & INCOME > Income Range > $1MM-1.99MM,2,Use Restriction Applied by Acxiom - Financial or Political Data
V12 > NEW VOTER & INCOME > Income Range > $2MM+,2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > Under $10,000 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $10,000-$14,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $15,000-$19,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $20,000-$24,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $25,000-$29,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $30,000-$34,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $35,000-$39,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $40,000-$44,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $45,000-$49,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $50,000-$54,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $55,000-$59,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $60,000-$64,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $65,000-$74,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $75,000-$99,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $100,000-$149,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $150,000-$174,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $175,000-$199,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $200,000-$249,999 HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Estimated Household Income > $250,000+ HHI",2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Net Worth > Under $1 Net Worth,2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $1-$4,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $5,000-$9,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $10,000-$24,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $25,000-$49,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $50,000-$99,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $100,000-$249,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $250,000-$499,999 Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Net Worth > $499,999+ Net Worth",2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $101-$300 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $301-$500 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $501-$1000 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $1001-$3000 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $3001-$5000 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $5001-$9999 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
"Stirista > Consumer > Credit Range > $10,000+ Credit Range",2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Credit Range > $0-$100 Credit Range,2,Use Restriction Applied by Acxiom - Financial or Political Data
Stirista > Consumer > Interests > Gaming,3,May not use without advertiser-specific authorization from LiveRamp/Acxiom by contacting datastore@liveramp.com
Cuebiq > Mobile Audience > Lifestyle > Bar Go-ers,2,Use restrictions applied by acxiom - Legacy Data
Cuebiq > Mobile Audience > Lifestyle > Bar Go-ers > Wine Bar Go-ers,2,Use restrictions applied by acxiom - Legacy Data
Cuebiq > Mobile Audience > Lifestyle > Bar Go-ers > Lounge Bar Go-ers,2,Use restrictions applied by acxiom - Legacy Data
Cuebiq > Mobile Audience > Lifestyle > Bar Go-ers > Pub Go-ers,2,Use restrictions applied by acxiom - Legacy Data
Cuebiq > Mobile Audience > Lifestyle > Bar Go-ers > Sports Bar Go-ers,2,Use restrictions applied by acxiom - Legacy Data
Cuebiq > Mobile Audience > Lifestyle > Clubbers,3,May not use without advertiser-specific authorization from LiveRamp/Acxiom by contacting datastore@liveramp.com
Cuebiq > Mobile Audience > Retail > Organic Shoppers > Liquor Stores,3,May not use without advertiser-specific authorization from LiveRamp/Acxiom by contacting datastore@liveramp.com
Cuebiq > Demographic > Work Status > Unemployed,2,Use Restriction Applied by Acxiom - Financial or Political Data
Cuebiq > Demographic > Average Household Income > Under $20000,2,Use Restriction Applied by Acxiom - Financial or Political Data
Cuebiq > Demographic > Average Household Income > $20000 > $39999,2,Use Restriction Applied by Acxiom - Financial or Political Data
Cuebiq > Demographic > Average Household Income > $40000 > $49000,2,Use Restriction Applied by Acxiom - Financial or Political Data
Cuebiq > Demographic > Average Household Income > $50000 > $74999,2,Use Restriction Applied by Acxiom - Financial or Political Data
Cuebiq > Demographic > Average Household Income > $75000 > $99999,2,Use Restriction Applied by Acxiom - Financial or Political Data
Cuebiq > Demographic > Average Household Income > $100000 > $149999,2,Use Restriction Applied by Acxiom - Financial or Political Data
